timestamp,background,hometown,song_title,song_artist,taste_text,ai_definition,participant_id
8/17/2026 11:50:18,Business Major,"Cary, North Carolina, USA",Not You Too,Drake & Chris Brown,Lovely,Something that changed everything.,ade3cb3e
8/17/2026 11:50:33,Mathematics,Birmingham AL,Been by now,Morgan wallen,Driving windows down summer,A system that assists in increasing the efficiency of society,9c16ded3
8/17/2026 11:50:38,Pre Business,"Charlotte, NC",Up All Night,Widespread Panic,Happy and higher energy,Any sort of machine or process that learns from itself,e8ddc51f
8/17/2026 11:50:45,Business,"Cary, NC",Circles,Post Malone,Nostalgia,A system of neural networks powered by data-driven computers and pattern recognition,796b0ad0
8/17/2026 11:50:46,Data Science,Smithfield/NC/United States,Caramelo - Remix,Ozuna,It makes me feel relaxed,An artificial helper that makes everyday tasks more manageable and efficient.,e34280e7
8/17/2026 11:50:52,Management,"Cairo, Egypt",Money Hungry,prettifun,Inspired,"A computer or program that can help with a variety of tasks, depending on what itâs tailored to do best.",08057df8
8/17/2026 11:51:00,Physics,"Garner, NC, USA",Dracula,Tame Impala,"It's kind of adrenaline filling, like it just gets me upbeat and moving.",AI is any trained program that is meant to adapt and learn from other things and grow.,20eea25d
8/17/2026 11:51:01,Business + Data Science,"Cary, NC",Sweet Nothing,Calvin Harris,"It makes me feel energetic, happy, and optimistic.",Technology that eases and helps people everyday tasks,f7276a78
8/17/2026 11:51:04,Economics,"Long Island , New York, US",Doors,Noah Khan,The bitter sweetness of new beginnings,It is a life altering invention which is why itâs so crucial to stay up to date with the ever moving frontier,542300fd
8/17/2026 11:51:10,Pre business and computer science,New Jersey,Everyone talks,Forget the bands name,Very happy and energetic,Ai is a set of introductions that completes tasks and can range from chatbots with intelligence to spellcheck.,4af0ed26
8/17/2026 11:51:14,Medical anthropology,"Cary, NC",Gasolina,Daddy yankee,It makes me feel very energized and feel like I can do anythinh,Technology that learns input behaviour to make decisions,9e2459eb
