Title,Artist,Album
Blinding Lights,The Weeknd,
Tití Me Preguntó,Bad Bunny,
Lovely Day,Bill Withers,
"Good Luck, Babe!",Chappell Roan,
Clair de Lune,Debussy,
Tití Me Preguntó,Bad Bunny,
Not Like Us,Kendrick Lamar,
Lovely Day,Bill Withers,
"Good Luck, Babe!",Chappell Roan,
Lovely Day,Bill Withers,
Tití Me Preguntó,Bad Bunny,
Fast Car,Tracy Chapman,
Blinding Lights,The Weeknd,
Clair de Lune,Debussy,
Not Like Us,Kendrick Lamar,
Lovely Day,Bill Withers,
Tití Me Preguntó,Bad Bunny,
Texas Hold 'Em,Beyonce,
Not Like Us,Kendrick Lamar,
"Good Luck, Babe!",Chappell Roan,
Lovely Day,Bill Withers,
Texas Hold 'Em,Beyonce,
Blinding Lights,The Weeknd,
Texas Hold 'Em,Beyonce,
Blinding Lights,The Weeknd,
Clair de Lune,Debussy,
Lovely Day,Bill Withers,
"Good Luck, Babe!",Chappell Roan,
Fast Car,Tracy Chapman,
Texas Hold 'Em,Beyonce,
Clair de Lune,Debussy,
Texas Hold 'Em,Beyonce,
"Good Luck, Babe!",Chappell Roan,
Texas Hold 'Em,Beyonce,
Blinding Lights,The Weeknd,
Not Like Us,Kendrick Lamar,
Texas Hold 'Em,Beyonce,
Fast Car,Tracy Chapman,
Lovely Day,Bill Withers,
Texas Hold 'Em,Beyonce,
Not Like Us,Kendrick Lamar,
Not Like Us,Kendrick Lamar,
