position,participant_id,requested_title,requested_artist,matched_title,matched_artist,album,apple_url,preview_url,artwork,spotify_search_url,youtube_search_url
1,9a15fcdc,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,,,,,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd,https://www.youtube.com/results?search_query=Blinding%20Lights%20The%20Weeknd
2,71e90bb4,Tití Me Preguntó,Bad Bunny,Tití Me Preguntó,Bad Bunny,,,,,https://open.spotify.com/search/Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny,https://www.youtube.com/results?search_query=Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny
3,f8943fff,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
4,41d68388,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Chappell Roan,,,,,https://open.spotify.com/search/Good%20Luck%2C%20Babe%21%20Chappell%20Roan,https://www.youtube.com/results?search_query=Good%20Luck%2C%20Babe%21%20Chappell%20Roan
5,01dfb66c,Clair de Lune,Debussy,Clair de Lune,Debussy,,,,,https://open.spotify.com/search/Clair%20de%20Lune%20Debussy,https://www.youtube.com/results?search_query=Clair%20de%20Lune%20Debussy
6,416339d4,Tití Me Preguntó,Bad Bunny,Tití Me Preguntó,Bad Bunny,,,,,https://open.spotify.com/search/Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny,https://www.youtube.com/results?search_query=Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny
7,e90a565d,Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,,,,,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,https://www.youtube.com/results?search_query=Not%20Like%20Us%20Kendrick%20Lamar
8,beb44e27,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
9,a4818fcb,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Chappell Roan,,,,,https://open.spotify.com/search/Good%20Luck%2C%20Babe%21%20Chappell%20Roan,https://www.youtube.com/results?search_query=Good%20Luck%2C%20Babe%21%20Chappell%20Roan
10,025d8544,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
11,8d574e17,Tití Me Preguntó,Bad Bunny,Tití Me Preguntó,Bad Bunny,,,,,https://open.spotify.com/search/Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny,https://www.youtube.com/results?search_query=Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny
12,a8b7cade,Fast Car,Tracy Chapman,Fast Car,Tracy Chapman,,,,,https://open.spotify.com/search/Fast%20Car%20Tracy%20Chapman,https://www.youtube.com/results?search_query=Fast%20Car%20Tracy%20Chapman
13,6ee7808d,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,,,,,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd,https://www.youtube.com/results?search_query=Blinding%20Lights%20The%20Weeknd
