participant_id,pc1,pc2,neighborhood,neighborhood_label,song_title,song_artist
ade3cb3e,-0.08154905045150633,0.020359777941531605,0,Nostalgic / Calm / At,Not You Too,Drake & Chris Brown
9c16ded3,-0.10650708198087434,0.013384875857716898,0,Nostalgic / Calm / At,Been by now,Morgan wallen
e8ddc51f,0.31752939098853117,-0.25317850966410693,2,Happy / Happy Because / Energetic,Up All Night,Widespread Panic
796b0ad0,-0.10269728208710797,0.025459471506866012,0,Nostalgic / Calm / At,Circles,Post Malone
e34280e7,0.4323968127090374,0.8167987908131604,1,Relaxed / Happy Relaxed / Happy,Caramelo - Remix,Ozuna
08057df8,-0.08442343767154113,0.011448033619779153,0,Nostalgic / Calm / At,Money Hungry,prettifun
20eea25d,-0.16695461304721995,-0.09487134183839817,3,Upbeat / Happy / Gets,Dracula,Tame Impala
f7276a78,0.37378205951355725,-0.3522874734579999,2,Happy / Happy Because / Energetic,Sweet Nothing,Calvin Harris
542300fd,-0.11947308700077863,0.028638797895452955,0,Nostalgic / Calm / At,Doors,Noah Khan
4af0ed26,0.2342410732956588,-0.22587829450815838,2,Happy / Happy Because / Energetic,Everyone talks,Forget the bands name
9e2459eb,-0.09133191335186851,-0.003662926291776492,0,Nostalgic / Calm / At,Gasolina,Daddy yankee
363a2931,-0.1326275832593206,0.03476322586141167,0,Nostalgic / Calm / At,HUMBLE,Kendrick Lamar
e412cbf5,0.1665883821740767,-0.19973518936670356,2,Happy / Happy Because / Energetic,Rescuer,Alex Warren
5b416c55,-0.12053283080019844,0.0009232069234239086,0,Nostalgic / Calm / At,Everybody wants to rule the world,Tears for fears
60a38ed2,-0.10172455161733836,-4.35124789518773e-05,0,Nostalgic / Calm / At,Be her,Ella Langley
60a38ed2,-0.1239483255546529,-0.06753876173586892,0,Nostalgic / Calm / At,Stupid Song,Olivia Rodrigo
60a38ed2,0.7229116998871745,-0.5107464866228127,2,Happy / Happy Because / Energetic,Man I Need,Olivia Dean
08e2f8f4,-0.11790803587767318,-0.018021467781646747,0,Nostalgic / Calm / At,Peach sand,Strongs & Hearts
b3250049,0.19590718949437474,-0.191642804192863,2,Happy / Happy Because / Energetic,Cleopatra,Lumineers
b3250049,-0.10083232712213741,0.024170258157019623,0,Nostalgic / Calm / At,Wondering Why,Red Clay Strays
7db11358,-0.0815490504515062,0.0203597779415315,0,Nostalgic / Calm / At,Loser,Tame impala
443afef4,0.14331291328333545,-0.14995504647093819,2,Happy / Happy Because / Energetic,Pursuit of Happiness,Kid Cudi
f6de10c5,-0.14414704041057885,0.0018237868212582725,0,Nostalgic / Calm / At,Starting Over,Chris Stapleton
96404718,-0.10759072423904877,0.01289877237566819,0,Nostalgic / Calm / At,nice dream,radiohead
96404718,-0.10250976378337485,0.025800692211963627,0,Nostalgic / Calm / At,Lord Knows,Drake
f0a875b9,0.2141578678584353,-0.18064041474846745,2,Happy / Happy Because / Energetic,Burn,Ellie Goulding
cc68faaf,-0.11792529958634267,-0.013083959663254638,0,Nostalgic / Calm / At,Young Blood,Noah Kahan
1dc9af91,-0.10762357364516974,0.02274511332439909,0,Nostalgic / Calm / At,Cool Cat,Queen
51f82125,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Orchids,Glass Beach
9e834c9b,-0.11250941017023577,0.07780065367177418,0,Nostalgic / Calm / At,Peaceful Easy Feeling,Eagles
67f30f32,-0.11654285347181391,0.026132985188924363,0,Nostalgic / Calm / At,Been by Now,Morgan Wallen
9d1914ff,0.1355028172288192,-0.2665747164035915,3,Upbeat / Happy / Gets,Valerie,Amy Winehouse
15d22aa4,0.1746329561208938,-0.21774527640957284,2,Happy / Happy Because / Energetic,Hey Jude,The Beatles
4aa43b6e,-0.09635733557116946,0.0021316775608847226,0,Nostalgic / Calm / At,Seigfried,Frank Ocean
4aa43b6e,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Last Girl on Earth,Lana Del Rey
1a77dc72,-0.08118312395927345,-0.08377134261074796,0,Nostalgic / Calm / At,Are you gonna be my girl,Jet
2fad5db9,0.25304629087600994,0.1888498688695041,0,Nostalgic / Calm / At,Every Breathe You Take,The Police
30a889b0,-0.11683447774050185,0.0015439515034092856,0,Nostalgic / Calm / At,Take it Easy,The Eagles
feab8a7b,-0.17677886466067047,-0.13707725123770964,3,Upbeat / Happy / Gets,Homerunner,Slayr
feab8a7b,-0.1597239609076237,-0.08012940426100162,3,Upbeat / Happy / Gets,Choosinâ Texas,Ella Langley
0b885f18,-0.19706171346349227,-0.1647640235750186,3,Upbeat / Happy / Gets,YMCA,Unknown
913ed9f9,-0.14579797800361977,0.019479817807120665,0,Nostalgic / Calm / At,Say You Love Me,Fleetwood Mac
afd7eca8,-0.13929900880566173,0.07992512608769287,0,Nostalgic / Calm / At,The Rapture Pt. III,"&ME, Black Coffee"
a110422f,0.028207257321244565,-0.0840481377046664,0,Nostalgic / Calm / At,oh well,Ariana Grande
a110422f,-0.1017774920971759,-0.002835090039343054,0,Nostalgic / Calm / At,Pearls,Sade
4961c2de,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Congratulations,Post malone & Quavo
0965530b,0.7229116998871744,-0.5107464866228129,2,Happy / Happy Because / Energetic,One of those nights,Tim McGraw
a84d9bd3,0.06312937103427192,0.3355573148690183,0,Nostalgic / Calm / At,Baby weâve got a date,Bod Marley and the wailers
a73097b0,-0.07413780282139942,-0.035773444436953766,0,Nostalgic / Calm / At,Out the Door,Congress the Band
b7410387,-0.15287674215943428,0.008523381486205864,0,Nostalgic / Calm / At,Dashboard,Noah Kahan
b7410387,-0.1397952730530633,0.0019041109866784075,0,Nostalgic / Calm / At,Vienna,Billy Joel
b7410387,0.2222523276637876,-0.20129782352086928,2,Happy / Happy Because / Energetic,For Cryâin out loud,Glen Campbell
c8eb20b2,-0.10549370010474073,0.02467046312803667,0,Nostalgic / Calm / At,Donât cross the river,America
937e6403,-0.1469094111347295,0.012264580338532612,0,Nostalgic / Calm / At,Good directions,Billy Currington
937e6403,-0.11014418958307726,0.007628715985487807,0,Nostalgic / Calm / At,Love Yourz,J. Cole
fd7eec4a,-0.19706171346349227,-0.1647640235750186,3,Upbeat / Happy / Gets,Have you ever seen the rain,Creedence Clearwater revival
23ef7162,-0.10027110256568059,0.019643617746744856,0,Nostalgic / Calm / At,Expectations,Olivia Rodrigo
978195d6,0.7229116998871744,-0.5107464866228129,2,Happy / Happy Because / Energetic,The bare necessities,Shalin
f743111a,0.2560633569496736,-0.2439667381838341,2,Happy / Happy Because / Energetic,Back to Oz,Sufjan Stevens & Angelo De Augustine
8e2d6495,0.037014780602111365,-0.12546111229524887,0,Nostalgic / Calm / At,"Youâre on your own, kid",Taylor Swift
8037aac3,-0.10967733731189637,0.019313799685705436,0,Nostalgic / Calm / At,Locked out of heaven,Bruno Mars
9c6ea6dd,-0.139334002172383,0.009368065393963796,0,Nostalgic / Calm / At,Feelin good again,Robert Earl Keen
bbf68ff9,-0.11597412999822454,0.008767628677442452,0,Nostalgic / Calm / At,Saturday Night,Misfits
9e7407e8,0.13366753143543678,-0.16370822959419332,2,Happy / Happy Because / Energetic,Moscow Mule,Bad bunny
9e7407e8,-0.12705246187283128,0.02434607062145209,0,Nostalgic / Calm / At,Candy Rain,Soul For Real
95625628,-0.14472896303708038,0.007680225993925331,0,Nostalgic / Calm / At,Mountain Song,Flatland Cavalry
ca50b8d7,-0.10959286216245025,-0.015269873914683095,0,Nostalgic / Calm / At,Coming of Age,Foster the People
f0e452fe,-0.08690820499368195,-0.037035074349930835,0,Nostalgic / Calm / At,Billie Jean,Micheal Jackson
61747b88,0.8113770480598681,0.34128012680872505,1,Relaxed / Happy Relaxed / Happy,Safe and Sound,Capital Cities
6b655ef5,-0.12210892641849337,0.029745426460234446,0,Nostalgic / Calm / At,Carolina in my Mind,James Taylor
f1413414,-0.1548608158502593,-0.04461498188580497,3,Upbeat / Happy / Gets,SeÃ±orita,Justin Timberlake
bd0979de,-0.1134806868459537,0.019181113724459693,0,Nostalgic / Calm / At,Spanish Joint,DâAngelo
d40151a5,-0.15529850864714617,0.025694725978172347,0,Nostalgic / Calm / At,Nutshell,Alice in Chains
eeaca6e9,-0.13807653407567488,0.02354230720954736,0,Nostalgic / Calm / At,Judas,Lady gaga
eeaca6e9,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Tenebre Rosso Sangue,Keygen Church
bf546dd8,0.3067937428434656,-0.4455552063673784,3,Upbeat / Happy / Gets,Petal,Ariana Grande
33b1248b,0.7229116998871744,-0.5107464866228129,2,Happy / Happy Because / Energetic,Cruel Power,The Happy Fits
30c4aebf,-0.15972972264437152,0.010530554859442449,0,Nostalgic / Calm / At,Champagne Supernova,Oasis
2d3ba0ed,0.7229116998871744,-0.5107464866228129,2,Happy / Happy Because / Energetic,Simple Man,Lynyrd Skynyrd
66c7b16e,0.43239681270903757,0.8167987908131601,1,Relaxed / Happy Relaxed / Happy,Why,Dominic Fike
ae38bdc6,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,You'll Be Gone,YonKaGor
f9211aa4,-0.11626589406891774,0.11230390496100721,0,Nostalgic / Calm / At,Viva la vida,Cold play
33201ef9,-0.11427797384252107,0.02174538856170153,0,Nostalgic / Calm / At,Burn it Down,Parker Mccollum
902d5837,-0.11367093100840793,0.02825842057015692,0,Nostalgic / Calm / At,On me,Lil Baby
902d5837,-0.1390023949498377,0.012401773217735657,0,Nostalgic / Calm / At,Champagne Supernova,Oasis
f2de5ff6,-0.14913995393762428,0.024343523249601273,0,Nostalgic / Calm / At,Spring into Summer,Lizzy McAlpine
cfb2f30b,-0.15287674215943428,0.008523381486205864,0,Nostalgic / Calm / At,Purple Rain,Prince
e39493f0,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,Gods Country,Blake Shelton
e39493f0,-0.11421899277095851,0.028429652273380693,0,Nostalgic / Calm / At,Family Ties,Baby Keem
e8b50d18,-0.0815490504515062,0.020359777941531498,0,Nostalgic / Calm / At,A dog song,AJR
e8b50d18,-0.09551614948491516,-0.011941568368932128,0,Nostalgic / Calm / At,Fire on Up,Paper Kings
9ea9ebab,-0.11408517013096289,0.026940520087853758,0,Nostalgic / Calm / At,Sayang Kinabalu,Kimin Mudin
700b0b49,-0.10971979159448284,0.02812978838534086,0,Nostalgic / Calm / At,Drops of Jupiter,Train
700b0b49,0.1520663801003984,-0.160517435541981,2,Happy / Happy Because / Energetic,Clarity,Zedd
000edf84,-0.1053885210613047,0.01947661988819911,0,Nostalgic / Calm / At,æ¼«æ­¥é¦æ¸¯1999,Blue C
